Terminal ID,Coal Terminal Name,Coal Terminal AKAs,Parent Port,GEM Wiki,GEM Wiki (Non-ENG),Status,Project Type,Owner,Capacity (Mt),Product Type,Terminal Type,Opening Year,Retire Year,Location,State/Province,Country,ISO Code,Subregion,Region,Latitude,Longitude,Accuracy,Coal source
T1344,Port of Long Beach Coal Terminal,,Port of Long Beach,https://www.gem.wiki/Port_of_Long_Beach,,Operating,,-,3.63,Coal,Exports,-,-,,California,United States,840,Northern America,Americas,33.74879419,-118.2062951,Exact,Colorado and Utah
T1361,Port of New Orleans Coal Terminal,,Port of New Orleans,https://www.gem.wiki/Port_of_New_Orleans,,Operating,,-,22.68,Coal,Exports,-,-,,New Orleans,United States,840,Northern America,Americas,29.936944,-90.061944,Exact,Central Appalachia and the Illinois Basin to Asia and Europe
T1402,Port of Oakland Coal Terminal,Oakland Bulk & Oversized Terminal,Port of Oakland,https://www.gem.wiki/Port_of_Oakland,,Proposed,,Insight Terminal Solutions,5,Coal,Exports,-,-,,California,United States,840,Northern America,Americas,37.795533,-122.284603,Exact,"Utah, USA"
T1324,Port of Stockton Coal Terminal,,Port of Stockton,https://www.gem.wiki/Port_of_Stockton,,Operating,,Metropolitan Stevedore Company (Metro Ports),1.81,Coal,Exports,1981,-,,California,United States,840,Northern America,Americas,37.95164,-121.31764,Exact,Colorado and Utah
T1042,Port Westward Coal Terminal,,Port Westward,https://www.gem.wiki/Port_Westward,,Cancelled,,Kinder Morgan,20,Coal,Exports,-,-,,Oregon,United States,840,Northern America,Americas,45.895385,-122.809274,Exact,
T1349,Quincy Coal Terminal,,-,https://www.gem.wiki/Quincy_Coal_Terminal,,Operating,,SunCoke Energy,6.35,Coal,"Exports, Imports",-,-,Dickinson,West Virginia,United States,840,Northern America,Americas,38.19918492,-81.50119261,Exact,
T1444,RAM Terminal,,-,https://www.gem.wiki/RAM_Terminal,,Shelved,,"RAM Terminals, Armstrong Energy",9.1,Coal,Exports,-,-,Plaquemine's Parish,Lousiana,United States,840,Northern America,Americas,29.623236,-89.918718,Exact,"Colorado, Powder River Basin (PRB), Illinois Basin (West KY)"
T1037,Richmond Port Coal Terminal,,Richmond Port,https://www.gem.wiki/Richmond_Port,,Cancelled,,-,5.4,Coal,Exports,-,-,Richmond,California,United States,840,Northern America,Americas,37.9128348,-122.3605514,Exact,
T1348,Sandusky Dock Coal Terminal,,Port of Sandusky,https://www.gem.wiki/Sandusky_Dock,,Operating,,Norfolk Southern,6.35,Coal,Exports,-,-,,Ohio,United States,840,Northern America,Americas,41.45878007,-82.73210859,Exact,
T1423,Seward Coal Terminal,,-,https://www.gem.wiki/Seward_Coal_Terminal,,Retired,,-,1.36,Coal,Exports,-,2016,Seward,Alaska,United States,840,Northern America,Americas,60.118778,-149.43046,Exact,Usibelli Coal Mine
